ID,MEDV
0,20.01
1,24.98
2,16.36
3,17.01
4,24.47
5,19.60
6,18.41
7,18.97
8,34.49
9,24.11
10,22.74
11,19.47
12,17.11
13,17.48
14,16.79
15,23.31
16,17.21
17,24.26
18,19.84
19,22.52
20,27.26
21,44.59
22,21.89
23,12.28
24,12.39
25,26.04
26,16.21
27,18.39
28,23.09
29,11.62
30,37.90
31,18.14
32,17.01
33,17.20
34,22.47
35,19.94
36,28.91
37,33.51
38,45.18
39,27.74
40,18.75
41,42.73
42,23.37
43,14.28
44,19.84
45,23.51
46,21.82
47,20.85
48,16.32
49,14.62
50,16.91
51,32.17
52,20.56
53,-0.08
54,13.08
55,13.51
56,18.22
57,13.14
58,7.60
59,18.10
60,18.57
61,19.62
62,37.09
63,21.49
64,47.81
65,29.70
66,13.72
67,20.01
68,22.52
69,13.76
70,18.71
71,20.57
72,25.89
73,19.01
74,18.88
75,19.50
76,17.13
77,26.89
78,17.60
79,33.56
80,34.84
81,43.50
82,29.19
83,27.64
84,16.92
85,34.23
86,14.53
87,28.66
88,14.63
89,19.01
90,12.60
91,19.13
92,15.02
93,21.75
94,18.14
95,23.23
96,40.71
97,12.22
98,15.10
99,27.88
100,23.45
101,16.93
102,27.43
103,32.61
104,36.03
